,game_id,move_color,move,evaluation,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
0,2018_Carlsen_Caruana_game8,white,e4,0.42,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
1,2018_Carlsen_Caruana_game8,black,c5,0.35,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
2,2018_Carlsen_Caruana_game8,white,Nf3,0.36,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
3,2018_Carlsen_Caruana_game8,black,Nc6,0.61,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
4,2018_Carlsen_Caruana_game8,white,d4,0.61,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
5,2018_Carlsen_Caruana_game8,black,cxd4,0.49,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
6,2018_Carlsen_Caruana_game8,white,Nxd4,0.55,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
7,2018_Carlsen_Caruana_game8,black,Nf6,0.43,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
8,2018_Carlsen_Caruana_game8,white,Nc3,0.55,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
9,2018_Carlsen_Caruana_game8,black,e5,0.71,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
10,2018_Carlsen_Caruana_game8,white,Ndb5,0.37,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
11,2018_Carlsen_Caruana_game8,black,d6,1.0,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
12,2018_Carlsen_Caruana_game8,white,Nd5,0.38,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
13,2018_Carlsen_Caruana_game8,black,Nxd5,0.22,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
14,2018_Carlsen_Caruana_game8,white,exd5,0.36,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
15,2018_Carlsen_Caruana_game8,black,Nb8,0.36,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
16,2018_Carlsen_Caruana_game8,white,a4,0.36,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
17,2018_Carlsen_Caruana_game8,black,Be7,0.4,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
18,2018_Carlsen_Caruana_game8,white,Be2,0.3,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
19,2018_Carlsen_Caruana_game8,black,O-O,0.35,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
20,2018_Carlsen_Caruana_game8,white,O-O,0.31,Carlsen - Caruana World Championship Match,London ENG,2018-11-19,8,Fabiano Caruana,?,Magnus Carlsen,?,1/2-1/2,B33,Sicilian
