,game_id,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
31,2006_Kramnik_Topalov_game6,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-04,7,Veselin Topalov,?,Vladimir Kramnik,?,1/2-1/2,D27,"Queen's Gambit Accepted, Classical"
32,2006_Kramnik_Topalov_game7,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-05,8,Vladimir Kramnik,?,Veselin Topalov,?,0-1,D47,Queen's Gambit Declined Semi-Slav
33,2006_Kramnik_Topalov_game8,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-07,9,Veselin Topalov,?,Vladimir Kramnik,?,1-0,D12,Queen's Gambit Declined Slav
34,2006_Kramnik_Topalov_game9,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-08,10,Vladimir Kramnik,?,Veselin Topalov,?,1-0,E10,Queen's Pawn Game
35,2006_Kramnik_Topalov_game10,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-10,11,Veselin Topalov,?,Vladimir Kramnik,?,1/2-1/2,D12,Queen's Gambit Declined Slav
36,2006_Kramnik_Topalov_game11,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-12,12,Vladimir Kramnik,?,Veselin Topalov,?,1/2-1/2,D12,Queen's Gambit Declined Slav
37,2006_Kramnik_Topalov_game12,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-13,13,Veselin Topalov,?,Vladimir Kramnik,?,1/2-1/2,D18,"Queen's Gambit Declined Slav, Dutch"
38,2006_Kramnik_Topalov_game13,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-13,14,Vladimir Kramnik,?,Veselin Topalov,?,1-0,D45,Queen's Gambit Declined Semi-Slav
39,2006_Kramnik_Topalov_game14,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-13,15,Veselin Topalov,?,Vladimir Kramnik,?,1-0,D12,Queen's Gambit Declined Slav
40,2006_Kramnik_Topalov_game15,Kramnik - Topalov World Championship Match,Elista RUS,2006-10-13,16,Vladimir Kramnik,?,Veselin Topalov,?,1-0,D47,Queen's Gambit Declined Semi-Slav
41,2004_Kramnik_Leko_game1,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-09-25,1,Peter Leko,?,Vladimir Kramnik,?,0-1,C42,Petrov Defense
42,2004_Kramnik_Leko_game2,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-09-26,2,Vladimir Kramnik,2770,Peter Leko,2741,1/2-1/2,C84,"Ruy Lopez, Closed"
43,2004_Kramnik_Leko_game3,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-09-28,3,Peter Leko,?,Vladimir Kramnik,?,1/2-1/2,C42,Petrov Defense
44,2004_Kramnik_Leko_game4,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-09-30,4,Vladimir Kramnik,?,Peter Leko,?,1/2-1/2,C84,"Ruy Lopez, Closed"
45,2004_Kramnik_Leko_game5,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-02,5,Peter Leko,?,Vladimir Kramnik,?,1-0,D37,Queen's Gambit Declined
46,2004_Kramnik_Leko_game6,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-03,6,Vladimir Kramnik,?,Peter Leko,?,1/2-1/2,C84,"Ruy Lopez, Closed"
47,2004_Kramnik_Leko_game7,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-05,7,Peter Leko,?,Vladimir Kramnik,?,1/2-1/2,D16,Queen's Gambit Declined Slav
48,2004_Kramnik_Leko_game8,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-07,8,Vladimir Kramnik,?,Peter Leko,?,0-1,C89,"Ruy Lopez, Marshall"
49,2004_Kramnik_Leko_game9,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-09,9,Peter Leko,?,Vladimir Kramnik,?,1/2-1/2,E15,Queen's Indian
50,2004_Kramnik_Leko_game10,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-10,10,Vladimir Kramnik,?,Peter Leko,?,1/2-1/2,C78,Ruy Lopez
51,2004_Kramnik_Leko_game11,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-12,11,Peter Leko,?,Vladimir Kramnik,?,1/2-1/2,E15,Queen's Indian
52,2004_Kramnik_Leko_game12,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-14,12,Vladimir Kramnik,?,Peter Leko,?,1/2-1/2,B18,"Caro-Kann, Classical"
53,2004_Kramnik_Leko_game13,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-16,13,Peter Leko,?,Vladimir Kramnik,?,1/2-1/2,A61,Benoni
54,2004_Kramnik_Leko_game14,Kramnik - Leko Classical World Championship Match,Brissago SUI,2004-10-18,14,Vladimir Kramnik,?,Peter Leko,?,1-0,B12,Caro-Kann Defense
55,2016_Carlsen_Karjakin_game1,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-11,1,Magnus Carlsen,?,Sergey Karjakin,?,1/2-1/2,A45,Queen's Pawn Game
56,2016_Carlsen_Karjakin_game2,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-12,2,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,C78,Ruy Lopez
57,2016_Carlsen_Karjakin_game3,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-14,3,Magnus Carlsen,?,Sergey Karjakin,?,1/2-1/2,C67,Ruy Lopez
58,2016_Carlsen_Karjakin_game4,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-15,4,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,C84,"Ruy Lopez, Closed"
59,2016_Carlsen_Karjakin_game5,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-17,5,Magnus Carlsen,?,Sergey Karjakin,?,1/2-1/2,C50,Giuoco Piano
60,2016_Carlsen_Karjakin_game6,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-18,6,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,C84,"Ruy Lopez, Closed"
61,2016_Carlsen_Karjakin_game7,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-20,7,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,D10,Queen's Gambit Declined Slav
62,2016_Carlsen_Karjakin_game8,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-21,8,Magnus Carlsen,?,Sergey Karjakin,?,0-1,D05,Queen's Pawn Game
63,2016_Carlsen_Karjakin_game9,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-23,9,Sergey Karjakin,?,Magnus Carlsen,?,1/2-1/2,C78,Ruy Lopez
64,2016_Carlsen_Karjakin_game10,Carlsen - Karjakin World Championship Match,"New York, NY USA",2016-11-24,10,Magnus Carlsen,?,Sergey Karjakin,?,1-0,C65,"Ruy Lopez, Berlin Defense"
